lat,lon,violation_count,peak_hour_share,near_junction,top_violation,score_density,score_peak,score_junction,congestion_impact_score,priority_rank
12.977,77.571,350,0.23714285714285716,1.0,NO PARKING,0.24079320113297395,0.23714285690571427,0.9999999989999999,0.4678251716476298,51
12.958,77.58,12,0.8333333333333334,1.0,WRONG PARKING,0.0014164305948998468,0.8333333325,0.9999999989999999,0.4673748814974499,52
12.989,77.552,12,0.8333333333333334,1.0,WRONG PARKING,0.0014164305948998468,0.8333333325,0.9999999989999999,0.4673748814974499,53
12.963000000000001,77.577,109,0.6605504587155964,1.0,WRONG PARKING,0.07011331444754242,0.6605504580550459,0.9999999989999999,0.46716674853478035,54
12.993,77.553,148,0.5878378378378378,1.0,WRONG PARKING,0.09773371104808942,0.5878378372499999,0.9999999989999999,0.46643442267404467,55
12.981,77.609,429,0.07692307692307693,1.0,WRONG PARKING,0.2967422096315179,0.07692307684615385,0.9999999989999999,0.46375571988498965,56
12.976,77.578,410,0.1,1.0,NO PARKING,0.28328611897996936,0.0999999999,0.9999999989999999,0.46164305916998466,57
12.964,77.57600000000001,217,0.4377880184331797,1.0,WRONG PARKING,0.14660056657213413,0.4377880179953917,0.9999999989999999,0.46085788658514537,58
12.964,77.575,10,0.8,1.0,WRONG PARKING,0.0,0.7999999992,0.9999999989999999,0.45999999954,59
12.935,77.609,14,0.7857142857142857,1.0,WRONG PARKING,0.0028328611897996936,0.7857142849285713,0.9999999989999999,0.45855928728061407,60
12.964,77.578,379,0.1345646437994723,1.0,WRONG PARKING,0.2613314447590217,0.13456464366490764,0.9999999989999999,0.4575786508124923,61
12.977,77.578,295,0.28135593220338984,1.0,NO PARKING,0.20184135977322815,0.2813559319220339,0.9999999989999999,0.4571918659710208,62
12.975,77.545,418,0.06220095693779904,1.0,WRONG PARKING,0.28895184135956875,0.06220095687559808,0.9999999989999999,0.45691611175490393,63
12.954,77.542,24,0.75,1.0,WRONG PARKING,0.009915014164298927,0.7499999992499999,0.9999999989999999,0.4549575066321494,64
12.974,77.57900000000001,399,0.07518796992481203,1.0,NO PARKING,0.2754957507080202,0.07518796984962405,0.9999999989999999,0.45278546902393485,65
12.965,77.574,166,0.4819277108433735,1.0,NO PARKING,0.11048158640218804,0.4819277103614457,0.9999999989999999,0.45162633497338317,66
12.954,77.543,217,0.3870967741935484,1.0,WRONG PARKING,0.14660056657213413,0.3870967738064516,0.9999999989999999,0.45071963774735735,67
12.939,77.584,50,0.68,1.0,WRONG PARKING,0.028328611897996934,0.67999999932,0.9999999989999999,0.45016430551299846,68
12.952,77.577,25,0.72,1.0,WRONG PARKING,0.01062322946174885,0.7199999992799999,0.9999999989999999,0.4493116142868744,69
13.008000000000001,77.555,237,0.33755274261603374,1.0,WRONG PARKING,0.1607648725211326,0.337552742278481,0.9999999989999999,0.44789298441626246,70
12.963000000000001,77.57600000000001,62,0.6451612903225806,1.0,WRONG PARKING,0.03682719546739602,0.6451612896774193,0.9999999989999999,0.4474458553691818,71
12.979000000000001,77.58,209,0.3827751196172249,1.0,NO PARKING,0.14093484419253474,0.38277511923444973,0.9999999989999999,0.4470224456431573,72
12.978,77.578,135,0.5111111111111111,1.0,NO PARKING,0.08852691218124042,0.5111111105999999,0.9999999989999999,0.44648567791062016,73
12.966000000000001,77.641,14,0.7142857142857143,1.0,NO PARKING,0.0028328611897996936,0.7142857135714286,0.9999999989999999,0.44427357300918546,74
12.981,77.598,407,0.0171990171990172,1.0,NO PARKING,0.2811614730876196,0.01719901718181818,0.9999999989999999,0.4440205396801734,75
12.999,77.55,344,0.12790697674418605,1.0,WRONG PARKING,0.2365439093482744,0.12790697661627906,0.9999999989999999,0.443853349697393,76
12.966000000000001,77.575,20,0.7,1.0,WRONG PARKING,0.0070821529744992335,0.6999999992999999,0.9999999989999999,0.44354107604724957,77
12.92,77.621,22,0.6818181818181818,1.0,NO PARKING,0.00849858356939908,0.6818181811363635,0.9999999989999999,0.4406129277119722,78
12.965,77.584,382,0.03926701570680628,1.0,WRONG PARKING,0.2634560906513715,0.03926701566753926,0.9999999989999999,0.4395814481591936,79
12.959,77.57600000000001,192,0.375,1.0,WRONG PARKING,0.12889518413588605,0.37499999962499997,0.9999999989999999,0.439447591692943,80
12.975,77.575,327,0.13149847094801223,1.0,WRONG PARKING,0.2245042492916257,0.13149847081651375,0.9999999989999999,0.43855181850911557,81
12.974,77.578,336,0.10714285714285714,1.0,WRONG PARKING,0.23087818696867501,0.10714285703571427,0.9999999989999999,0.4368676645914803,82
12.936,77.608,42,0.6190476190476191,1.0,WRONG PARKING,0.02266288951839755,0.6190476184285714,0.9999999989999999,0.43514096814491304,83
12.943,77.571,241,0.2572614107883817,1.0,WRONG PARKING,0.1635977337109323,0.2572614105311203,0.9999999989999999,0.4332511486616902,84
12.992,77.553,47,0.5957446808510638,1.0,WRONG PARKING,0.026203966005647165,0.5957446802553191,0.9999999989999999,0.4322509187538873,85
12.966000000000001,77.578,114,0.47368421052631576,1.0,WRONG PARKING,0.07365439093479204,0.4736842100526315,0.9999999989999999,0.4315640371779223,86
12.964,77.57900000000001,227,0.2687224669603524,1.0,WRONG PARKING,0.15368271954663337,0.2687224666916299,0.9999999989999999,0.43058585281164263,87
12.912,77.57300000000001,11,0.6363636363636364,1.0,NO PARKING,0.0007082152974499234,0.6363636357272726,0.9999999989999999,0.4276268344941795,88
12.994,77.552,11,0.6363636363636364,1.0,WRONG PARKING,0.0007082152974499234,0.6363636357272726,0.9999999989999999,0.4276268344941795,89
12.967,77.641,11,0.6363636363636364,1.0,NO PARKING,0.0007082152974499234,0.6363636357272726,0.9999999989999999,0.4276268344941795,90
12.968,77.575,350,0.014285714285714285,1.0,WRONG PARKING,0.24079320113297395,0.01428571427142857,0.9999999989999999,0.4232537431207727,91
12.931000000000001,77.61,35,0.5714285714285714,1.0,NO PARKING,0.017705382436248085,0.5714285708571428,0.9999999989999999,0.4231384050895526,92
12.953,77.542,81,0.48148148148148145,1.0,WRONG PARKING,0.05028328611894456,0.48148148099999993,0.9999999989999999,0.42143793895947224,93
12.978,77.57600000000001,224,0.22767857142857142,1.0,NO PARKING,0.1515580736542836,0.22767857120089283,0.9999999989999999,0.4213147507673203,94
